i2_health,age,household_size,cantril_ladder,r1_1,r1_2,protective_behaviour_nomask_scale,week_number,within_mandate_period,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.006974923,0.007860654,0.007322229,0.00735362,0.008004524,0.007714413,0.04950185,0.016333995,0.37597805,0.03424452,0.008687056,0.041391566,0.008163507,0.022731276,0.015462003,0.062711656,0.0067336657,0.0076554543,0.008618357,0.0082951225,0.0071066665,0.008033456,0.0070662824,0.005566157,0.007029228,0.0071551832,0.01003417,0.011952421,0.00639629,0.0054998947,0.007347402,0.0074145957,0.008007886,0.0066465093,0.0075401827,0.0068501825,0.0070258635,0.006848718,0.006317133,0.009361613,0.0064470833,0.00992999,0.007129059,0.0073649604,0.0077743577,0.0059660347,0.009542701,0.0061207926,0.0065815113,0.00901745,0.0061715143,0.008559297,0.006116938,0.006824591,0.007570169,0.0063050427,0.006306469,0.0072027524,0.008131071
0.006871508,0.0077509894,0.007029606,0.0071224365,0.008041014,0.0077504744,0.04874712,0.016274696,0.38815156,0.032266688,0.008462323,0.040487826,0.009225798,0.022505347,0.014001487,0.061452065,0.0065478585,0.007389667,0.008190148,0.0082786875,0.007123711,0.008122074,0.00702727,0.005732098,0.0071734427,0.0068474365,0.0098105,0.012975706,0.0064959344,0.005744686,0.0069595566,0.007078063,0.008705406,0.0069779838,0.007870025,0.006744505,0.00681698,0.0068018977,0.0062364866,0.010273723,0.006250276,0.00790295,0.0061420766,0.007178794,0.0068683056,0.006306098,0.010056413,0.0062879985,0.0065843672,0.006593281,0.0058791745,0.0071171355,0.0060314084,0.0070763393,0.008590843,0.0059970845,0.005985917,0.0072378027,0.00784894
0.006621032,0.00764742,0.0069739595,0.0069218376,0.007847296,0.007765566,0.04841487,0.015599652,0.40184087,0.03143959,0.009299135,0.039200936,0.008181849,0.020399973,0.015194433,0.059260998,0.00649477,0.00738135,0.008296224,0.007955744,0.007055464,0.0077168755,0.0069408687,0.0052358345,0.0071348795,0.0068140305,0.010055581,0.012451445,0.0061392845,0.0055289473,0.0070200013,0.0073050354,0.007832706,0.0068698735,0.0074149584,0.006419972,0.006838409,0.0065384577,0.0060820077,0.008622809,0.0058486005,0.008062259,0.0065287063,0.0069084917,0.0078050224,0.0059114723,0.0100840675,0.0055526616,0.0057699005,0.006830765,0.006168349,0.0094012525,0.0062038167,0.0072320444,0.0067425687,0.005661119,0.0061759343,0.0068268026,0.0075311963
0.006896607,0.0076747434,0.007079485,0.0069661867,0.008006488,0.0078036017,0.048595678,0.016106712,0.39250898,0.033227388,0.009111247,0.03982518,0.0077109532,0.021336716,0.014508434,0.06032438,0.00656066,0.008201118,0.0085451,0.007962208,0.0071578776,0.0080339415,0.006997231,0.0044722375,0.006668055,0.006686394,0.011128007,0.012706873,0.006309325,0.0059410096,0.0070020696,0.0076828026,0.008176493,0.006903695,0.0073472634,0.006863297,0.006978696,0.0068259165,0.0066189133,0.009769971,0.0060678106,0.00856175,0.0064260396,0.0070473053,0.007653646,0.005914172,0.008128412,0.0058967927,0.0064016464,0.0062183174,0.0060672523,0.008476962,0.005738044,0.0071379184,0.008323176,0.0058907135,0.005798616,0.006856467,0.008172969
0.007006339,0.007954539,0.007296437,0.007206741,0.0083387345,0.007897252,0.049745377,0.01664307,0.37649295,0.03330162,0.0086414665,0.04250147,0.008749807,0.023204593,0.01602008,0.060069613,0.0067807334,0.008132841,0.008817289,0.008179008,0.007279143,0.007625282,0.006955643,0.0054633697,0.007349673,0.007075735,0.009544691,0.012848167,0.006546312,0.005915219,0.0068091536,0.007427841,0.00846293,0.0066727675,0.008062544,0.006939902,0.0070642144,0.0067018247,0.006363138,0.00869709,0.005843691,0.007879058,0.006490236,0.006960419,0.0074066916,0.00625544,0.011207483,0.006336989,0.0063448455,0.0068832915,0.0059686736,0.008872483,0.006232769,0.0072449828,0.00877119,0.0060994513,0.006176109,0.007992439,0.008249207
0.006740194,0.0076887305,0.007010479,0.0070507564,0.008160388,0.007831353,0.047488905,0.0160773,0.38424227,0.033111922,0.0090641705,0.042894714,0.008022724,0.02275623,0.01374778,0.06383467,0.0066032563,0.0074391016,0.008177502,0.008061219,0.0069057257,0.008042978,0.006872796,0.0053137704,0.007112714,0.006962801,0.01107257,0.0125083,0.006633786,0.0059781964,0.007107197,0.00743475,0.007846363,0.0064468947,0.0076145753,0.006352582,0.0073867175,0.0065529733,0.0061358963,0.008908724,0.0060714753,0.008219548,0.006532107,0.0072070663,0.0073673613,0.006089104,0.008916114,0.006827073,0.0068738963,0.0065471875,0.006285819,0.008878402,0.0058810045,0.0067953253,0.008925375,0.0059221038,0.006142153,0.0073512224,0.007973781
0.0067540905,0.0077467877,0.0071239346,0.0069183754,0.007815181,0.007708077,0.047755636,0.016014578,0.39162216,0.030140145,0.008392665,0.041636825,0.00855551,0.022828426,0.013608164,0.06266425,0.00654342,0.0076746345,0.00809318,0.007999609,0.0072377245,0.008299862,0.0068821786,0.004932601,0.0070071034,0.0069637666,0.01052442,0.012726738,0.0065943473,0.0059079533,0.0069294325,0.007704415,0.0086128805,0.0071626375,0.0073806327,0.0067267544,0.0074275886,0.0067535928,0.006252,0.0092894975,0.006057306,0.009888917,0.0065653343,0.007373733,0.0085937595,0.006518793,0.007894991,0.005828721,0.006472065,0.006199793,0.005903491,0.0073440587,0.0058382875,0.006861434,0.007803229,0.0059872465,0.006177167,0.0062871017,0.0074927723
0.006852392,0.0077321767,0.006917572,0.0072005237,0.008213904,0.007896214,0.0494591,0.016101586,0.3896633,0.03298194,0.008831668,0.040232733,0.007707194,0.021780903,0.014376716,0.060169533,0.0066956487,0.0075954213,0.008460126,0.008185274,0.0070913383,0.00789893,0.007226284,0.005852294,0.007201747,0.007042015,0.009422199,0.012868207,0.0065404205,0.005609865,0.0074332114,0.0073079453,0.008000705,0.006055807,0.008256857,0.0072640073,0.0074995826,0.0067001586,0.0062847114,0.009073924,0.006505195,0.010596457,0.0067245867,0.006900668,0.006945339,0.0062693185,0.010402808,0.0063027735,0.0061659156,0.005524217,0.0060436362,0.00630616,0.005959521,0.0070745847,0.0075955763,0.0059124897,0.0061102603,0.007168385,0.007808026
0.0068568904,0.0077534085,0.0070733093,0.0069685336,0.008208644,0.0076487456,0.05036602,0.016310174,0.38951263,0.030593714,0.009436744,0.040638793,0.008637702,0.02256975,0.016390625,0.057496384,0.0066882367,0.0077483966,0.008525073,0.008280499,0.0068274527,0.00791445,0.006873739,0.0050437683,0.006528414,0.0068131974,0.010912991,0.012375853,0.006518298,0.0056108576,0.0069282227,0.0073891063,0.00835033,0.0064795995,0.0070891227,0.0067465906,0.0077977334,0.006088738,0.00635039,0.009296682,0.006317535,0.008076176,0.0064119594,0.007406593,0.0070820563,0.006233596,0.011498981,0.0064039915,0.006419346,0.0070928945,0.006028785,0.006803211,0.00619572,0.006821314,0.007952849,0.0058075595,0.0059145307,0.007445493,0.008447567
0.006835938,0.0078033204,0.0068574883,0.0069514886,0.008002242,0.007876939,0.047604993,0.015870174,0.3948179,0.030209461,0.00891919,0.038345326,0.009224287,0.02084508,0.018133683,0.05873668,0.0065322486,0.007558503,0.008167502,0.008120904,0.0073109567,0.007658417,0.006736388,0.005114908,0.00747202,0.006791346,0.009842246,0.012686872,0.006282048,0.005552003,0.0067843506,0.0072220643,0.008284804,0.006459865,0.007892767,0.006318375,0.0070935464,0.006637451,0.0063784895,0.010621568,0.0059337164,0.010443891,0.006608711,0.0066745947,0.00815184,0.0063272547,0.0065921405,0.006023731,0.006536685,0.0063604494,0.006157826,0.0096430015,0.006045463,0.007108093,0.007992704,0.0057746004,0.0058632703,0.0069855545,0.0082227485
