i2_health,age,household_size,cantril_ladder,r1_1,r1_2,protective_behaviour_nomask_scale,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.013710769,0.018384809,0.01135755,0.013834144,0.026661504,0.019332813,0.12271129,0.02332651,0.15462433,0.0084716575,0.021578843,0.019603048,0.026945608,0.013392377,0.018880406,0.010063847,0.011428432,0.011551073,0.016555974,0.011969014,0.016399836,0.011803848,0.009523494,0.011208174,0.010119594,0.0075782393,0.014391045,0.0110071255,0.008342301,0.010882448,0.012026947,0.013700342,0.009044685,0.009842026,0.009273436,0.012277605,0.008571812,0.009622868,0.011268814,0.009018803,0.015651751,0.008991731,0.009003689,0.0091251135,0.0088563105,0.011238597,0.009822015,0.008687342,0.011427771,0.0105873905,0.019153928,0.010378204,0.013236124,0.01476892,0.007757088,0.010554732,0.010889609,0.01958219
0.014634173,0.017232012,0.011491676,0.013925367,0.030022826,0.01677451,0.11464974,0.02508096,0.16569047,0.010418409,0.025229868,0.021442125,0.023572585,0.01588563,0.023399074,0.009813525,0.012165266,0.011270704,0.01523478,0.012482334,0.013699344,0.010663363,0.009587051,0.009501824,0.00929599,0.009289842,0.013749473,0.009846569,0.0076128696,0.007807046,0.013790247,0.014185661,0.009248609,0.008351588,0.00888381,0.012988071,0.0075847097,0.010208199,0.013557692,0.010115838,0.013855086,0.009356235,0.008943682,0.013322564,0.008180939,0.015962856,0.008639795,0.008923947,0.008299746,0.010680631,0.012302399,0.008750221,0.013533376,0.012622431,0.0086582145,0.010120524,0.00811515,0.019348359
0.014174512,0.018921096,0.010952838,0.012934548,0.023197634,0.01763866,0.12961434,0.022901768,0.17955396,0.009719063,0.017828852,0.016126605,0.027258085,0.011180372,0.016556706,0.010382058,0.011120191,0.013268433,0.01706305,0.013122216,0.014534029,0.010606559,0.009019584,0.011786637,0.009059594,0.0062812874,0.0147030065,0.010870573,0.008307185,0.009051438,0.01173377,0.017980633,0.010197407,0.008065628,0.008826208,0.010916292,0.007877223,0.009737849,0.012024133,0.010234721,0.013196411,0.0094831195,0.010108463,0.011403973,0.00916675,0.012758528,0.008387475,0.009804982,0.008244277,0.011172288,0.011668162,0.010357029,0.013024468,0.012790336,0.008489827,0.011785322,0.00820818,0.014621682
0.013531888,0.017322803,0.010803449,0.013076097,0.030123387,0.017886687,0.12519374,0.023254802,0.15515448,0.010836111,0.026667232,0.020046616,0.030366184,0.012967507,0.020494372,0.009983143,0.011594658,0.01105192,0.01515995,0.012895328,0.014943662,0.010363479,0.008553941,0.009678818,0.010784064,0.008100652,0.014353699,0.0099628605,0.008615639,0.008029103,0.011624418,0.016191754,0.008346207,0.007035322,0.009481322,0.009931224,0.008305229,0.010104026,0.01284639,0.010751636,0.0063890754,0.009477354,0.00897275,0.013311585,0.0076841405,0.019989908,0.008819179,0.0093262615,0.013515255,0.009065985,0.013912336,0.009255831,0.012718304,0.014132696,0.006974866,0.008897377,0.0107349595,0.020408312
0.015460674,0.017499339,0.011006173,0.012445209,0.02600882,0.018861156,0.12375603,0.023643035,0.19103062,0.009515398,0.021093061,0.01873091,0.025327496,0.013335569,0.019752342,0.010780232,0.010579692,0.013769423,0.014889881,0.01271331,0.014158219,0.009934182,0.00751385,0.010580671,0.009402516,0.0068979007,0.013961195,0.009177687,0.0075156908,0.008593316,0.011271087,0.0151353525,0.008985888,0.00742552,0.00935586,0.008984495,0.0082969265,0.010565115,0.0108651705,0.010363041,0.01003306,0.009745614,0.010073036,0.009855455,0.008266491,0.013185549,0.0084884325,0.009412129,0.008207599,0.008921852,0.014657813,0.006877225,0.013188532,0.013652022,0.0075923908,0.009514352,0.01014588,0.019000519
0.014701853,0.01832167,0.011499161,0.01249826,0.027272457,0.01783888,0.11437363,0.0228151,0.166699,0.010046322,0.033249844,0.022991953,0.02809634,0.011767738,0.025131643,0.010295856,0.011590702,0.011349899,0.015516229,0.013650332,0.015149837,0.010336728,0.009153323,0.010762004,0.009115332,0.007493686,0.016741397,0.0112948455,0.007893982,0.008820661,0.011497229,0.014393623,0.008526227,0.010389072,0.008026333,0.01083882,0.00798581,0.010026099,0.010155413,0.010487052,0.008007479,0.009292297,0.008950562,0.0070920363,0.008927105,0.021476801,0.00772687,0.0085277585,0.0055433204,0.009564797,0.016346166,0.007907723,0.012750609,0.011255083,0.0072435215,0.01095384,0.012682257,0.016957445
0.0133209005,0.018011488,0.01159438,0.012863454,0.024578765,0.019807296,0.12845895,0.023613587,0.15888412,0.011636962,0.022971261,0.021700853,0.02530483,0.011334441,0.019515272,0.011097105,0.0107608605,0.012906434,0.01424558,0.012243408,0.0129574,0.009448179,0.0098266,0.01009489,0.009348827,0.008347655,0.014948405,0.01091489,0.007901718,0.00911894,0.014037234,0.01257087,0.007906466,0.009301563,0.009843834,0.012581623,0.008649535,0.009407383,0.00975275,0.009151549,0.0148281595,0.010625408,0.010741199,0.0056535346,0.007992473,0.021082256,0.010345204,0.009446679,0.009281311,0.010987673,0.013154707,0.009072818,0.0123401275,0.0150058,0.007442943,0.010228565,0.011187031,0.019623863
0.015250672,0.01771469,0.0116291735,0.013249701,0.027691295,0.017687017,0.12294371,0.023253283,0.14408816,0.0122775,0.024600245,0.023388885,0.02449304,0.011655987,0.026317937,0.010644465,0.012607688,0.010672145,0.016461566,0.014483642,0.014639156,0.010329783,0.009293085,0.008247491,0.009714582,0.008150988,0.013913043,0.012242192,0.007934716,0.0100862635,0.0132378945,0.016623331,0.008705304,0.008082673,0.0089595765,0.009655676,0.0068451264,0.011077607,0.011807078,0.009118627,0.008810696,0.009848425,0.0102104265,0.009105681,0.010167757,0.014815926,0.010381873,0.008322518,0.01345238,0.010564839,0.011505757,0.009580029,0.012704396,0.018275997,0.008586678,0.010984678,0.012748448,0.020158404
0.01460442,0.018498713,0.010633445,0.013287305,0.029331775,0.017666118,0.12093829,0.023466567,0.16514036,0.010764537,0.022044007,0.017597074,0.02651298,0.015211103,0.020648386,0.010623792,0.0110204145,0.010487543,0.015404255,0.012150057,0.013507005,0.0106000705,0.008397543,0.010106452,0.009977043,0.010387962,0.013202593,0.0093045,0.007883686,0.008700785,0.011285741,0.017801983,0.009281144,0.009228617,0.009569426,0.012466372,0.007347271,0.009072473,0.008889221,0.009362715,0.012077124,0.007462091,0.010597051,0.010483529,0.00925236,0.022687377,0.00853962,0.009481814,0.0098138265,0.0100247525,0.01987534,0.009022196,0.012644302,0.013009708,0.007370937,0.009066049,0.009629421,0.016558716
0.014292192,0.017206602,0.011024934,0.014021577,0.027237482,0.020179253,0.11964795,0.024454573,0.16835934,0.011282942,0.024623824,0.02161158,0.027064936,0.009865109,0.023724342,0.011026426,0.009299237,0.011737104,0.015922444,0.011863554,0.015874084,0.010198835,0.009102052,0.010403832,0.009290367,0.0066471477,0.016175766,0.011650591,0.00771263,0.0077479063,0.011713077,0.014865275,0.008560459,0.008360924,0.0092833545,0.013667807,0.006898759,0.01061243,0.008480396,0.008659627,0.0106734,0.007867141,0.009019444,0.00879943,0.008809105,0.013732877,0.010779116,0.00990172,0.011586643,0.010233175,0.010444938,0.007384771,0.010571179,0.017452216,0.008533314,0.010881451,0.010474814,0.022504568
