i2_health,age,household_size,cantril_ladder,r1_1,r1_2,protective_behaviour_nomask_scale,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.009449692,0.011591631,0.013032902,0.01067594,0.01255734,0.0106516555,0.14908051,0.032396335,0.019023798,0.011867818,0.094590366,0.016116876,0.035424367,0.02552489,0.09374627,0.00835607,0.01501233,0.024296645,0.011219761,0.0087393215,0.016724443,0.0107001,0.0014387311,0.009021857,0.011341145,0.015160803,0.031452168,0.011064239,0.0072840885,0.0101769185,0.014205709,0.014474827,0.008975525,0.011423098,0.011805443,0.008472661,0.009811704,0.008497947,0.0131394025,0.007750226,0.009998165,0.0105337575,0.010903481,0.0074355565,0.0075755976,0.014233281,0.008255153,0.0077294563,0.0,0.007672286,0.0076115015,0.0072366376,0.008540677,0.0080547,0.0076896865,0.0116321435,0.009087436,0.009534936
0.009868615,0.0115855215,0.011797499,0.011498783,0.012775866,0.010371529,0.15434933,0.031997677,0.016747877,0.011727157,0.09166451,0.01854151,0.036091678,0.023460044,0.099870026,0.0094113,0.015337626,0.018621491,0.010762363,0.008378495,0.016279664,0.008930851,0.007257717,0.009594971,0.012696619,0.0148162795,0.032461986,0.00984469,0.005700174,0.009879865,0.011654471,0.014390078,0.008272284,0.013559489,0.00935221,0.009091513,0.009539838,0.007418136,0.0091095185,0.007877601,0.012811439,0.009536781,0.011727848,0.009570773,0.0072281533,0.008205727,0.009551368,0.008286532,0.008312201,0.0075421813,0.00460784,0.008542479,0.0106273,0.0070636943,0.0070204507,0.00851771,0.009126922,0.009133823
0.0097324215,0.0119194975,0.011668709,0.011974919,0.012227328,0.011854498,0.15651576,0.031671967,0.023672698,0.012790045,0.099338956,0.02094868,0.03490029,0.02217942,0.095135145,0.008084539,0.014161957,0.019154076,0.012433816,0.008034594,0.014571302,0.007932622,0.002491395,0.010668497,0.011357166,0.013100562,0.033474803,0.009629401,0.0070723486,0.009308251,0.012248945,0.014363071,0.008518414,0.012562245,0.010294513,0.012518231,0.009187079,0.008017983,0.010654463,0.007347035,0.0071086986,0.009663762,0.0117886085,0.0052619544,0.0075827576,0.014491754,0.007851324,0.008728247,0.007400939,0.007403815,0.0058606216,0.009305539,0.009247204,0.0,0.007449039,0.00846966,0.011012071,0.007656457
0.009480128,0.011251832,0.012870773,0.011400224,0.012808637,0.010873632,0.15017118,0.0326641,0.018737858,0.011415392,0.09612756,0.017459909,0.03542225,0.025489679,0.10504406,0.0090668155,0.014070945,0.019846577,0.012249294,0.008312222,0.016393136,0.010100741,0.0021836483,0.0067464253,0.012862898,0.01176217,0.034128644,0.010404022,0.008124474,0.009358478,0.01217482,0.016321748,0.009641238,0.01289097,0.009928529,0.011778987,0.011355505,0.0078733545,0.0,0.007347655,0.011224583,0.010369492,0.009937174,0.009517796,0.0068077794,0.013390942,0.0077573536,0.008333503,0.0045890645,0.007824486,0.0062796194,0.00851542,0.010396391,0.0,0.007707927,0.010020182,0.013237203,0.007950511
0.009722689,0.011421498,0.011188683,0.011161363,0.012692893,0.011014264,0.15376438,0.031162536,0.016704798,0.012178176,0.09572587,0.01825239,0.033053987,0.02148798,0.09465375,0.008943958,0.0148099745,0.022490555,0.012450145,0.0080352565,0.015382167,0.00954932,0.001503081,0.011894774,0.013005816,0.010418974,0.033659328,0.008700709,0.006058732,0.009283875,0.014348769,0.014846012,0.008619378,0.013625057,0.009824679,0.012289625,0.009363772,0.006681017,0.007813193,0.006474695,0.013622199,0.009391927,0.0116265,0.005296892,0.005983624,0.012823177,0.00817967,0.008988558,0.01325668,0.0068854466,0.006084715,0.0070915767,0.011097286,0.008194908,0.008697877,0.009554418,0.011421435,0.0075450344
0.009503471,0.011112822,0.011861835,0.011482359,0.012658405,0.011088604,0.14557534,0.031965468,0.01577944,0.013355794,0.101553075,0.016687188,0.03331939,0.022551406,0.10754599,0.00830376,0.016009072,0.018629828,0.012437482,0.00885936,0.01579891,0.009156183,0.0043339147,0.0095527,0.012187394,0.013821867,0.03595648,0.010089758,0.0063514775,0.009536756,0.012539668,0.014020859,0.0074966494,0.011280633,0.010368489,0.007453582,0.01180649,0.0072217947,0.008609359,0.007292801,0.011739681,0.0093353735,0.0119204465,0.010061011,0.0067039523,0.009287619,0.009538445,0.008141267,0.008452438,0.007226125,0.0077934205,0.008950357,0.008792932,0.0,0.006663114,0.010353326,0.011276726,0.00860791
0.009168706,0.011754727,0.011434939,0.011333712,0.013118003,0.01088285,0.15810153,0.031688876,0.015814811,0.0125887785,0.08720241,0.015691862,0.035927113,0.027244383,0.09590365,0.008323927,0.016575908,0.0225296,0.012446533,0.007540446,0.0198999,0.009862294,0.006824092,0.0127140265,0.012033158,0.0113938805,0.032045703,0.011104964,0.007433931,0.009888302,0.013088732,0.014300801,0.008698325,0.013088956,0.008862057,0.011953427,0.0089473,0.006754146,0.0,0.006545737,0.010352938,0.008168686,0.011981419,0.011207269,0.006826598,0.012279699,0.008562044,0.008198259,0.0,0.0076084533,0.012465607,0.008875056,0.0075417096,0.01153568,0.0075095133,0.009380224,0.008162465,0.008631871
0.009140229,0.011618281,0.011536306,0.011021561,0.014157669,0.011253703,0.15403219,0.03142678,0.016805323,0.011257885,0.093753606,0.01561814,0.031988256,0.022262026,0.09917618,0.00746591,0.013088273,0.022265596,0.011068904,0.008910256,0.016639382,0.009091736,0.0019688099,0.009768464,0.01295878,0.01292875,0.034929294,0.010853881,0.0069664144,0.008848502,0.013961582,0.013110751,0.010155167,0.012020054,0.009205879,0.01148646,0.009207122,0.008403743,0.006989137,0.006247761,0.012900725,0.008595211,0.011620251,0.006375853,0.007933678,0.021054862,0.0069582565,0.0076990095,0.009083946,0.00776528,0.0044062193,0.009715217,0.008545427,0.009378076,0.0074982936,0.0093037905,0.0093299495,0.008247188
0.010091988,0.012600688,0.011381692,0.011046945,0.013098651,0.011802624,0.16342244,0.031983286,0.018527247,0.01312289,0.0893117,0.018948734,0.034997217,0.024642518,0.09599335,0.008277779,0.012377672,0.020567415,0.010817094,0.008064563,0.01298896,0.010104199,0.002487701,0.008954834,0.012297443,0.013660716,0.034876313,0.009052779,0.007098868,0.010108304,0.01405372,0.013823326,0.007107944,0.014830556,0.0104201725,0.00892398,0.00898928,0.010080745,0.005211263,0.0065727155,0.010518545,0.010416735,0.015592912,0.0,0.006516638,0.013567636,0.007813734,0.009755612,0.0075234715,0.00770497,0.00554982,0.008479297,0.009798595,0.006461458,0.007154173,0.01054758,0.0103902165,0.009488366
0.009414502,0.011161587,0.012340273,0.010945112,0.012796636,0.011032139,0.16547607,0.03081039,0.022525324,0.011311912,0.090293385,0.020024648,0.0362224,0.022953965,0.096281484,0.0077214283,0.013100182,0.020255482,0.010444169,0.008777126,0.020785203,0.008422024,0.008036245,0.007488994,0.01135384,0.013029123,0.03271036,0.010957614,0.0068381354,0.010221674,0.012187045,0.01619238,0.009349172,0.012407876,0.009119038,0.010726258,0.009771729,0.007524773,0.008063431,0.0065578287,0.015556772,0.008139896,0.011275669,0.0054171504,0.007745332,0.012232474,0.006842683,0.008819884,0.0,0.007819862,0.0042104856,0.008927394,0.009953364,0.0,0.008716504,0.01105402,0.010245529,0.0074121207
