index,features
1,i11_health_Not sure
2,state_Northern Territory
3,i11_health_Very unwilling
4,i11_health_Somewhat unwilling
5,state_Tasmania
6,WCRex1_Very badly
7,state_Victoria
8,WCRex1_Somewhat badly
9,state_Queensland
10,state_South Australia
11,i11_health_Somewhat willing
12,state_Western Australia
13,WCRex1_Very well
14,i9_health_Not sure
15,WCRex1_Somewhat well
16,gender_Male
17,i11_health_Very willing
18,i9_health_Yes
19,state_New South Wales
20,household_size
21,cantril_ladder
22,r1_2
23,week_number
24,age
25,r1_1
