i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.03767827,0.014923272,0.014977862,0.015793448,0.03398932,0.016169783,0.017685603,0.024586502,0.015516853,0.017041894,0.017779615,0.02132313,0.025072923,0.02433568,0.0133419,0.02881729,0.024126504,0.017557047,0.015841248,0.016894354,0.017032102,0.0,0.021213494,0.020039486,0.024419894,0.023960227,0.01678241,0.013418306,0.018549688,0.015044181,0.015963642,0.018633876,0.012973072,0.019028338,0.018742925,0.020928435,0.015785294,0.0,0.01584076,0.017675616,0.018664464,0.014320006,0.03387667,0.014540526,0.017397203,0.019861454,0.01394584,0.0,0.0141760055,0.010173062,0.021883516,0.014099298,0.0,0.015911229,0.014811811,0.022447085,0.014407483
0.037806038,0.015282124,0.015507393,0.015817827,0.03403103,0.01620488,0.017089419,0.02638483,0.027042454,0.0171811,0.015289553,0.020977572,0.031528108,0.02535486,0.013627125,0.024845246,0.027097015,0.017091535,0.015321974,0.014788556,0.016099947,0.016755259,0.021397479,0.01667259,0.019494327,0.022141717,0.01681249,0.011928801,0.017363608,0.012995243,0.014253705,0.020132635,0.01723441,0.019602327,0.019737028,0.019162277,0.014877928,0.0,0.015387038,0.015776092,0.016784344,0.015321139,0.018331314,0.014203242,0.022011962,0.017011289,0.014268804,0.0,0.014098485,0.015802827,0.019788733,0.017024485,0.0,0.015377321,0.015128907,0.013247585,0.015505981
0.036603905,0.014927867,0.015211776,0.015707972,0.036187764,0.015820466,0.017199976,0.025671588,0.016603446,0.015051407,0.017251778,0.020608377,0.023917813,0.024387542,0.013153138,0.030243604,0.023432033,0.016322762,0.01633118,0.014988417,0.01549307,0.022116015,0.020329684,0.017197825,0.024514006,0.020979,0.017297998,0.011952324,0.020635074,0.013459491,0.015153236,0.018967163,0.016423084,0.016613407,0.016433056,0.0197589,0.013349696,0.0,0.013966857,0.017296277,0.017797472,0.014184034,0.016290095,0.0142602185,0.022134477,0.018902436,0.014106846,0.0,0.014458155,0.02339696,0.019102808,0.013726932,0.0,0.015179182,0.013849572,0.026811881,0.0142399985
0.040730413,0.014852007,0.01563939,0.015973961,0.03394109,0.015065795,0.016944176,0.025465412,0.013001946,0.016068926,0.01586091,0.021711886,0.025414458,0.024528032,0.013703009,0.024202973,0.023816936,0.017254679,0.016213164,0.015649218,0.016128786,0.021273423,0.021456458,0.017780686,0.022994222,0.021513954,0.017646972,0.013007671,0.021199387,0.015242068,0.013270611,0.021964137,0.016993092,0.018160107,0.015074499,0.019525403,0.013846754,0.0,0.013441286,0.01612411,0.016153747,0.014430401,0.014846626,0.016199686,0.01705533,0.01943386,0.014416804,0.0,0.014614797,0.026245767,0.019816754,0.015262854,0.0,0.015089768,0.015816491,0.023232633,0.014702507
0.03947891,0.015223881,0.015392096,0.016371997,0.035255358,0.015544759,0.018195238,0.0248863,0.021712502,0.016735801,0.017240671,0.02094206,0.024728732,0.02595717,0.014114004,0.03004292,0.02435144,0.017530164,0.015860543,0.013949089,0.017925622,0.033388026,0.023216069,0.018030569,0.0239425,0.025358772,0.018202981,0.014090927,0.018854372,0.015122798,0.015471527,0.022805797,0.015269156,0.016852887,0.017648054,0.020218931,0.013845812,0.0,0.013840893,0.014859141,0.01716446,0.014525981,0.0,0.015330037,0.020936944,0.021214603,0.014492372,0.0,0.014431288,0.019520277,0.019673744,0.014536711,0.0,0.016513424,0.013326036,0.0,0.015875584
0.040242527,0.015142949,0.015072663,0.015099007,0.0331333,0.01661667,0.018046027,0.02592768,0.028855206,0.019279568,0.019747498,0.025108824,0.02669332,0.02854694,0.013711684,0.029631559,0.023214294,0.016480777,0.016219957,0.015075802,0.016265145,0.0,0.028018987,0.016550606,0.022226028,0.023724478,0.017271895,0.012413636,0.018113172,0.01344588,0.014550615,0.021778606,0.018428521,0.018472413,0.018008804,0.020159112,0.01521468,0.0,0.015467573,0.017659212,0.019922372,0.012971607,0.021661663,0.013730207,0.014036898,0.019779742,0.016302751,0.0,0.01630517,0.017491424,0.019898659,0.01493909,0.0,0.013161148,0.014219961,0.0,0.015963608
0.038111348,0.015167239,0.0152700385,0.015025975,0.03279167,0.015410395,0.016969565,0.025326606,0.025472376,0.016391307,0.01581587,0.020272957,0.026564276,0.02389196,0.013651063,0.029101368,0.024467003,0.014505882,0.01558745,0.014620644,0.01762275,0.025838694,0.02878311,0.017532622,0.019657778,0.021506377,0.017081417,0.012675454,0.02082614,0.01417035,0.014739702,0.019363122,0.015749909,0.018634887,0.0133473305,0.018504392,0.014406011,0.0,0.013991944,0.013112818,0.018775377,0.014442343,0.022937445,0.014200602,0.021246955,0.018766077,0.0139392745,0.0,0.014246215,0.017799797,0.021021824,0.015879195,0.0,0.014123979,0.014066839,0.012433667,0.014160598
0.03913454,0.015289594,0.014746561,0.0157528,0.032896478,0.01580447,0.017115343,0.025085624,0.018608993,0.015657736,0.016169483,0.021070307,0.025993485,0.025969738,0.013590799,0.028399145,0.024081018,0.017348139,0.01651885,0.0142856,0.017434582,0.013557028,0.024292218,0.01651304,0.029539537,0.023240613,0.018016657,0.012770149,0.020676067,0.013453309,0.014467813,0.020226767,0.023140727,0.01797976,0.01358683,0.02108162,0.014320395,0.0,0.014955003,0.00976925,0.022093428,0.014303449,0.019707056,0.015698908,0.018758722,0.019931724,0.01527556,0.0,0.015410631,0.010047205,0.022823557,0.013809612,0.0,0.015384977,0.013731666,0.015579599,0.014903794
0.03805629,0.015381031,0.015888529,0.016465168,0.037056327,0.016043823,0.018063946,0.025103075,0.020905485,0.017121216,0.017456543,0.024189187,0.025390655,0.02429921,0.013688588,0.028466122,0.024362573,0.019294849,0.017026141,0.016242407,0.016594475,0.020882878,0.027325353,0.018715754,0.022656975,0.023978755,0.020047504,0.013607728,0.018760292,0.014031236,0.015614849,0.02286599,0.018626595,0.017385796,0.014114988,0.02196241,0.014986164,0.013553172,0.01595315,0.01674249,0.019468222,0.01586628,0.0,0.016907435,0.016820574,0.019488085,0.014933192,0.0,0.015568397,0.0,0.019696634,0.0155669525,0.0,0.017367598,0.015858062,0.0,0.01355083
0.03902902,0.015530121,0.0154948,0.016283747,0.03461961,0.016959824,0.018245218,0.027300816,0.021605348,0.018556518,0.019002883,0.02120365,0.025761172,0.02253103,0.014793596,0.028358215,0.025125604,0.017127031,0.016613789,0.015392476,0.01764289,0.016633963,0.029196896,0.019637853,0.027757697,0.023452854,0.018686963,0.014805851,0.01977454,0.0148253525,0.014527246,0.019464798,0.023376815,0.0176318,0.016732205,0.02271163,0.013449013,0.0,0.016002025,0.016917022,0.016631708,0.016893368,0.0,0.01599384,0.013404771,0.018269189,0.014972968,0.0,0.013488756,0.0,0.023025732,0.014373285,0.0,0.015311288,0.013563414,0.016418573,0.014891274
