i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.043354437,0.012569312,0.011144808,0.011329364,0.049769167,0.013000826,0.030607134,0.050000798,0.008227329,0.051834345,0.0118855825,0.016571585,0.043935664,0.083732195,0.010942154,0.028689016,0.035658304,0.009532582,0.010215186,0.010592075,0.010418489,0.010471402,0.010774486,0.020368837,0.01744194,0.077154845,0.009394622,0.009569449,0.010133325,0.011805194,0.010262286,0.011628439,0.010221025,0.009149626,0.008580671,0.011998954,0.01021235,0.0072762985,0.008509408,0.010535664,0.010118496,0.011436713,0.011420676,0.0078830905,0.010118963,0.011479844,0.009133524,0.01036612,0.009234799,0.011814152,0.009773542,0.008765373,0.01070743,0.008366765,0.010053549,0.010277872,0.009549961
0.042557642,0.011766238,0.010689105,0.01084918,0.05580339,0.0119993705,0.031301465,0.05254565,0.009480197,0.053984772,0.020525467,0.01515195,0.045789268,0.07965425,0.0106357,0.021607513,0.044402644,0.009478629,0.010343255,0.010043949,0.009542563,0.006777947,0.009358764,0.019537587,0.016446222,0.080126494,0.009614393,0.009533039,0.010409576,0.011154522,0.013100617,0.0111825615,0.008792528,0.00936097,0.007994743,0.011221056,0.0099104075,0.009770113,0.008016803,0.012272665,0.00995032,0.009733395,0.008958279,0.007334327,0.008521073,0.010686716,0.009211969,0.008478097,0.009782926,0.0097156055,0.0088684065,0.012136445,0.009733466,0.007207084,0.008452869,0.009219285,0.009276502
0.044199165,0.010903793,0.010288966,0.010700179,0.049362786,0.011827092,0.028479047,0.042792086,0.009184797,0.06751443,0.019842925,0.01655266,0.05048511,0.073398806,0.0112924315,0.022594512,0.03792242,0.009512349,0.011178593,0.009608907,0.009452001,0.008986085,0.01173104,0.021448907,0.015400388,0.089417785,0.007406897,0.010218945,0.009304712,0.013126025,0.010892745,0.010758412,0.0102962,0.007855103,0.008767679,0.010552302,0.009524573,0.0077304016,0.008103539,0.010710728,0.009952928,0.009110687,0.009540087,0.007790924,0.0076971464,0.010424585,0.008327998,0.010056975,0.008970072,0.010404874,0.008787702,0.009834682,0.012027535,0.0074214484,0.008461966,0.01175383,0.010111008
0.043579683,0.011882654,0.010582059,0.010779552,0.057770155,0.0115677565,0.030876469,0.047774952,0.011386802,0.058931753,0.018128559,0.013451218,0.044100776,0.07483787,0.011993499,0.020869216,0.03912182,0.009718452,0.011246523,0.009536164,0.010232476,0.009569471,0.010923456,0.021069987,0.016345559,0.083205916,0.008443701,0.010153432,0.0111303665,0.012810906,0.011255366,0.0094279535,0.009676878,0.008672684,0.008551307,0.011750642,0.010065942,0.008103017,0.007654634,0.010865807,0.010206501,0.009135377,0.009114217,0.008239813,0.011880562,0.010390197,0.010208784,0.010204688,0.0091007715,0.009110617,0.0098147355,0.010995903,0.008226937,0.007118372,0.00870703,0.010471841,0.009028291
0.046492275,0.011296844,0.010107608,0.010319637,0.051872186,0.01234568,0.030938024,0.042775262,0.009278656,0.062027976,0.018320274,0.020790333,0.041777976,0.08489711,0.011182496,0.027331792,0.03750215,0.0079837125,0.0108860545,0.009189572,0.008450883,0.008813109,0.009956253,0.022222739,0.021237599,0.07014011,0.008301739,0.009690522,0.0095834825,0.012859634,0.011372554,0.01067245,0.009977499,0.00789962,0.0075455466,0.011788692,0.01054077,0.0106464755,0.007835006,0.009593879,0.010185834,0.009682862,0.009451466,0.008160119,0.013366687,0.010024649,0.008058273,0.009479051,0.008819374,0.009450689,0.009014519,0.009837088,0.012067894,0.008147109,0.009382823,0.008715205,0.009712254
0.0410283,0.011105899,0.01020313,0.010341069,0.04723714,0.012357485,0.028825292,0.05754717,0.011038638,0.06083527,0.017355958,0.0138472095,0.04844271,0.07463123,0.0098504275,0.023133172,0.04618213,0.008240129,0.010418183,0.0103909755,0.008912436,0.007844668,0.0101548415,0.022607641,0.02132503,0.075875156,0.009043836,0.009562243,0.009858983,0.012805268,0.011265817,0.010023826,0.010259785,0.008219648,0.0069291154,0.011983214,0.009143323,0.0096145915,0.007025534,0.010958461,0.009625499,0.009366242,0.011492718,0.008117068,0.008800591,0.009038457,0.009061636,0.011753066,0.008432431,0.012980969,0.008769429,0.009175626,0.0126914345,0.007432057,0.008791909,0.008344939,0.00970099
0.047596376,0.011395047,0.01031759,0.010561474,0.04731428,0.013242424,0.030455222,0.048808604,0.008835241,0.057429563,0.0152318515,0.020967655,0.037387885,0.077113174,0.0108676115,0.023531517,0.037058193,0.009215811,0.0111031,0.011205833,0.010678928,0.008359258,0.011224001,0.0204583,0.018884955,0.0748894,0.010302293,0.010607563,0.0102863945,0.011429457,0.0126735065,0.01059074,0.009133545,0.0076543917,0.007476045,0.010737909,0.011693099,0.009046355,0.007979624,0.011925341,0.010614046,0.0099816155,0.0105310185,0.0077507966,0.009470201,0.01062591,0.010732556,0.012345527,0.008851589,0.012051996,0.009633835,0.010488034,0.013002092,0.00743262,0.009566938,0.0101592755,0.011092332
0.042681538,0.0112837525,0.010350392,0.010613194,0.05822375,0.013249041,0.030851923,0.044970974,0.007872103,0.067829676,0.016712034,0.019575737,0.048555963,0.075723596,0.011391475,0.019072436,0.042087056,0.009950618,0.010703354,0.010969158,0.009714732,0.009121815,0.012371204,0.019537078,0.01897796,0.072918385,0.008995561,0.010426093,0.0099889245,0.012024551,0.013108411,0.009615368,0.009334706,0.008816123,0.0077111684,0.010555268,0.009875894,0.0060791373,0.008892596,0.00892736,0.009916097,0.009619853,0.010316764,0.0077277734,0.01023942,0.010037541,0.009853591,0.0082405815,0.009237537,0.009088087,0.01025856,0.0088788085,0.010715602,0.007857659,0.00982134,0.008862871,0.0096678585
0.040846694,0.011739229,0.009535092,0.010931291,0.058547977,0.012374824,0.030204048,0.05248893,0.008715941,0.04917683,0.020160012,0.015335667,0.05593636,0.0674907,0.011974565,0.023442345,0.04082383,0.010612783,0.011957067,0.010527186,0.009739241,0.009082176,0.011719342,0.020940896,0.020716505,0.07249444,0.008945511,0.008860135,0.0096918745,0.012279232,0.011071168,0.0108802505,0.009809604,0.0077136443,0.0085804025,0.012053939,0.010481999,0.007518393,0.0075219925,0.011103343,0.009080368,0.01073974,0.008245842,0.0086672725,0.011212428,0.011117321,0.009637716,0.010364849,0.0093593905,0.011125204,0.009595897,0.009974427,0.011111498,0.007534405,0.008528319,0.010041772,0.00963806
0.043004256,0.011502238,0.010106207,0.010355178,0.050020363,0.012634975,0.030020764,0.04835752,0.010114447,0.06507138,0.01809963,0.015851384,0.049004532,0.067928314,0.01073598,0.022843082,0.03773564,0.009265604,0.009590513,0.010073163,0.009928209,0.008322775,0.011360761,0.02054668,0.02066511,0.08572892,0.008479756,0.009640387,0.0099490825,0.013094128,0.011947118,0.011335526,0.011142099,0.009121493,0.0073662056,0.010146821,0.0103542125,0.008897171,0.0074622976,0.011714807,0.009636858,0.010191675,0.009533306,0.007624277,0.010011033,0.009799588,0.009572312,0.009558812,0.009157778,0.009876909,0.010490004,0.009705902,0.010234722,0.007857742,0.008697809,0.009170922,0.009361672
